generatorauthor,aiauthor,travelleddistance
Sebastian Asen,Marco Landau,0.2705372805986665
Harish Swaminathan Gopal,Marco Landau,0.20867621553080973
Sebastian Vogl,Reference AI,0.00014552507919519218
Sebastian Asen,Reference AI,101.8464744835965
Reference Generator,Reference AI,468.52703353240764
Reference Generator,Marco Landau,67.17591049815242
Sebastian Asen,Vsevolod Tymofyeyev,1.694236233248436
Sebastian Vogl,Vsevolod Tymofyeyev,2.5100856311972466
Harish Swaminathan Gopal,Marco Landau,0.20922179800588223
Sebastian Vogl,Vsevolod Tymofyeyev,5.983948689959245
Reference Generator,Vsevolod Tymofyeyev,18.823763868772232
Reference Generator,Vsevolod Tymofyeyev,136.57430413720232
Sebastian Vogl,Marco Landau,2.7096965926366314
Sebastian Asen,Vsevolod Tymofyeyev,27.533407457969147
Sebastian Asen,Vsevolod Tymofyeyev,27.84563663407006
Sebastian Vogl,Marco Landau,30.802636829305857
Sebastian Vogl,Marco Landau,30.410554871428428
Sebastian Vogl,Marco Landau,5.989584412103347e-05
Sebastian Vogl,Marco Landau,7.428242230134887
Reference Generator,Reference AI,373.4669788714408
Reference Generator,Vsevolod Tymofyeyev,21.28342612693971
Reference Generator,Reference AI,0.0004731092239710383
Sebastian Vogl,Reference AI,30.41079113006983
Sebastian Asen,Vsevolod Tymofyeyev,28.08163700959392
Sebastian Asen,Vsevolod Tymofyeyev,1.8383524342242854
Sebastian Vogl,Marco Landau,30.262221017917017
Reference Generator,Marco Landau,16.101401584319344
Sebastian Asen,Vsevolod Tymofyeyev,2.1443862233837567
Sebastian Asen,Reference AI,283.9648344421912
Harish Swaminathan Gopal,Reference AI,327.9548392030005
Sebastian Asen,Vsevolod Tymofyeyev,12.964660362901437
Sebastian Asen,Marco Landau,24.89664099982035
Harish Swaminathan Gopal,Reference AI,40.88417899955822
Reference Generator,Reference AI,469.82145434020157
Sebastian Vogl,Vsevolod Tymofyeyev,6.000106778807653
Reference Generator,Vsevolod Tymofyeyev,10.358839336006746
Reference Generator,Marco Landau,12.728369322369886
Sebastian Asen,Reference AI,271.2460655091062
Reference Generator,Vsevolod Tymofyeyev,15.603697230252916
Sebastian Vogl,Reference AI,30.26222884196921
Harish Swaminathan Gopal,Reference AI,318.8972945540411
Sebastian Vogl,Vsevolod Tymofyeyev,6.000101851752376
Sebastian Vogl,Marco Landau,90.13548441170005
Sebastian Asen,Marco Landau,0.27094216087356304
Sebastian Asen,Marco Landau,9.884201199204758
Harish Swaminathan Gopal,Reference AI,144.89703321194565
Sebastian Asen,Vsevolod Tymofyeyev,27.53472927149484
Harish Swaminathan Gopal,Marco Landau,0.1545305080584757
Harish Swaminathan Gopal,Reference AI,146.18247587500917
