goalarea,invalidgoalarea,author
0.0,False,Sebastian Vogl
4.0,False,Sebastian Vogl
0.0,False,Sebastian Vogl
0.0,False,Sebastian Vogl
50.184775848735036,False,Reference Generator
50.18477584873504,False,Reference Generator
50.184775848735036,False,Reference Generator
50.18477584873504,False,Reference Generator
50.18477584873503,False,Reference Generator
28.228936414913456,False,Sebastian Vogl
28.228936414913456,True,Sebastian Vogl
28.228936414913456,False,Sebastian Vogl
28.22893641491345,True,Sebastian Vogl
28.22893641491346,True,Sebastian Vogl
28.228936414913456,False,Sebastian Vogl
28.228936414913452,False,Sebastian Vogl
28.228936414913456,False,Sebastian Vogl
28.22893641491345,True,Sebastian Vogl
28.228936414913452,True,Sebastian Vogl
28.228936414913452,False,Sebastian Vogl
1322.8528246224646,True,Harish Swaminathan Gopal
2928.7374275928782,True,Harish Swaminathan Gopal
2639.5841778618774,True,Harish Swaminathan Gopal
6380.689284352889,True,Harish Swaminathan Gopal
2435.5,False,Harish Swaminathan Gopal
1080.9102723437863,True,Harish Swaminathan Gopal
1837.6564774879055,True,Harish Swaminathan Gopal
407.3015852986845,False,Sebastian Asen
405.75943232105374,False,Sebastian Asen
380.0,False,Sebastian Asen
400.55658225590156,False,Sebastian Asen
390.4653531121305,False,Sebastian Asen
50.18477584873505,False,Reference Generator
50.18477584873505,False,Reference Generator
50.18477584873506,False,Reference Generator
50.18477584873502,False,Reference Generator
50.18477584873503,False,Reference Generator
50.18477584873505,False,Reference Generator
4.0,False,Sebastian Vogl
0.0,False,Sebastian Vogl
4.0,False,Sebastian Vogl
4.0,False,Sebastian Vogl
0.0,False,Sebastian Vogl
4.0,False,Sebastian Vogl
0.0,False,Sebastian Vogl
4.0,False,Sebastian Vogl
0.0,False,Sebastian Vogl
4082.0,False,Harish Swaminathan Gopal
412.5,False,Harish Swaminathan Gopal
1465.0,False,Harish Swaminathan Gopal
2513.5,False,Harish Swaminathan Gopal
7068.5,False,Harish Swaminathan Gopal
4929.0,False,Harish Swaminathan Gopal
1986.5,False,Harish Swaminathan Gopal
72.5,False,Harish Swaminathan Gopal
2897.0,False,Harish Swaminathan Gopal
575.0,False,Harish Swaminathan Gopal
400.0,False,Sebastian Asen
400.0,False,Sebastian Asen
400.0,False,Sebastian Asen
400.0,False,Sebastian Asen
380.0,False,Sebastian Asen
400.0,False,Sebastian Asen
50.18477584873503,False,Reference Generator
50.184775848735036,False,Reference Generator
50.184775848735036,False,Reference Generator
50.18477584873502,False,Reference Generator
50.184775848735065,False,Reference Generator
50.18477584873505,False,Reference Generator
4.0,False,Sebastian Vogl
0.0,False,Sebastian Vogl
0.0,False,Sebastian Vogl
4.0,False,Sebastian Vogl
0.0,False,Sebastian Vogl
4.0,False,Sebastian Vogl
0.0,False,Sebastian Vogl
4.0,False,Sebastian Vogl
1349.5,False,Harish Swaminathan Gopal
1133.0,False,Harish Swaminathan Gopal
546.0,False,Harish Swaminathan Gopal
5824.0,False,Harish Swaminathan Gopal
2055.5,False,Harish Swaminathan Gopal
4290.0,False,Harish Swaminathan Gopal
2680.0,False,Harish Swaminathan Gopal
271.0,False,Harish Swaminathan Gopal
6729.0,False,Harish Swaminathan Gopal
3223.0,False,Harish Swaminathan Gopal
400.0,False,Sebastian Asen
400.0,False,Sebastian Asen
400.0,False,Sebastian Asen
400.0,False,Sebastian Asen
400.0,False,Sebastian Asen
380.0,False,Sebastian Asen
400.0,False,Sebastian Asen
50.18477584873503,False,Reference Generator
50.184775848735036,False,Reference Generator
50.184775848735036,False,Reference Generator
50.18477584873506,False,Reference Generator
50.184775848735036,False,Reference Generator
28.228936414913456,False,Sebastian Vogl
28.228936414913456,True,Sebastian Vogl
28.228936414913456,False,Sebastian Vogl
28.22893641491345,True,Sebastian Vogl
28.22893641491346,True,Sebastian Vogl
28.228936414913456,False,Sebastian Vogl
28.228936414913452,False,Sebastian Vogl
28.228936414913456,False,Sebastian Vogl
28.22893641491345,True,Sebastian Vogl
28.228936414913452,True,Sebastian Vogl
28.228936414913452,False,Sebastian Vogl
28.228936414913456,False,Sebastian Vogl
28.22893641491345,True,Sebastian Vogl
28.228936414913456,False,Sebastian Vogl
28.228936414913456,True,Sebastian Vogl
28.228936414913463,False,Sebastian Vogl
28.228936414913463,True,Sebastian Vogl
28.22893641491346,False,Sebastian Vogl
28.228936414913456,True,Sebastian Vogl
28.22893641491345,False,Sebastian Vogl
28.22893641491345,True,Sebastian Vogl
28.22893641491345,False,Sebastian Vogl
28.228936414913452,True,Sebastian Vogl
28.228936414913452,False,Sebastian Vogl
28.228936414913452,True,Sebastian Vogl
28.228936414913452,False,Sebastian Vogl
28.228936414913456,False,Sebastian Vogl
1109.7746762860797,True,Harish Swaminathan Gopal
1109.4161462434045,False,Harish Swaminathan Gopal
1006.1583527464758,True,Harish Swaminathan Gopal
3989.2727465545245,False,Harish Swaminathan Gopal
9457.0,False,Harish Swaminathan Gopal
6300.0,False,Harish Swaminathan Gopal
5099.5,False,Harish Swaminathan Gopal
2788.9337011911075,True,Harish Swaminathan Gopal
1261.7202292179165,True,Harish Swaminathan Gopal
5577.0,False,Harish Swaminathan Gopal
2933.5,False,Harish Swaminathan Gopal
3214.9544349745215,True,Harish Swaminathan Gopal
2396.388204573333,False,Harish Swaminathan Gopal
5374.5,False,Harish Swaminathan Gopal
4366.6475452032955,False,Harish Swaminathan Gopal
3002.8298668759,False,Harish Swaminathan Gopal
1914.1870296242028,False,Harish Swaminathan Gopal
619.553362151683,True,Harish Swaminathan Gopal
3419.351882894954,False,Harish Swaminathan Gopal
2801.582304653409,True,Harish Swaminathan Gopal
2753.293817283548,False,Harish Swaminathan Gopal
559.9264933525615,True,Harish Swaminathan Gopal
5852.331166511127,False,Harish Swaminathan Gopal
3702.492290739667,False,Harish Swaminathan Gopal
1293.11525381767,True,Harish Swaminathan Gopal
8423.822575590097,False,Harish Swaminathan Gopal
416.34061141849065,False,Sebastian Asen
408.0241695356283,False,Sebastian Asen
391.347392523554,False,Sebastian Asen
380.0,False,Sebastian Asen
404.7471835870878,False,Sebastian Asen
400.0,False,Sebastian Asen
404.09215774440446,False,Sebastian Asen
400.6282069512729,False,Sebastian Asen
401.4848520269868,False,Sebastian Asen
405.6488323835567,False,Sebastian Asen
4.0,False,Sebastian Vogl
4.0,False,Sebastian Vogl
4.0,False,Sebastian Vogl
0.0,False,Sebastian Vogl
0.0,False,Sebastian Vogl
4.0,False,Sebastian Vogl
50.184775848735036,False,Reference Generator
50.18477584873504,False,Reference Generator
50.18477584873503,False,Reference Generator
50.184775848735036,False,Reference Generator
50.184775848735036,False,Reference Generator
50.18477584873506,False,Reference Generator
50.184775848735036,False,Reference Generator
28.228936414913456,False,Sebastian Vogl
28.228936414913456,True,Sebastian Vogl
28.228936414913456,False,Sebastian Vogl
28.22893641491345,True,Sebastian Vogl
28.22893641491346,True,Sebastian Vogl
28.228936414913456,False,Sebastian Vogl
28.228936414913452,False,Sebastian Vogl
28.228936414913456,False,Sebastian Vogl
28.22893641491345,True,Sebastian Vogl
28.228936414913452,True,Sebastian Vogl
28.228936414913452,False,Sebastian Vogl
28.228936414913456,False,Sebastian Vogl
28.22893641491345,True,Sebastian Vogl
28.228936414913456,False,Sebastian Vogl
28.228936414913456,True,Sebastian Vogl
28.228936414913463,False,Sebastian Vogl
28.228936414913463,True,Sebastian Vogl
28.22893641491346,False,Sebastian Vogl
28.228936414913456,True,Sebastian Vogl
28.22893641491345,False,Sebastian Vogl
28.22893641491345,True,Sebastian Vogl
28.22893641491345,False,Sebastian Vogl
28.228936414913452,True,Sebastian Vogl
28.228936414913452,False,Sebastian Vogl
28.228936414913452,True,Sebastian Vogl
28.228936414913452,False,Sebastian Vogl
28.228936414913456,False,Sebastian Vogl
1109.7746762860797,True,Harish Swaminathan Gopal
1109.4161462434045,False,Harish Swaminathan Gopal
1006.1583527464758,True,Harish Swaminathan Gopal
3989.2727465545245,False,Harish Swaminathan Gopal
9457.0,False,Harish Swaminathan Gopal
6300.0,False,Harish Swaminathan Gopal
5099.5,False,Harish Swaminathan Gopal
2788.9337011911075,True,Harish Swaminathan Gopal
1261.7202292179165,True,Harish Swaminathan Gopal
5577.0,False,Harish Swaminathan Gopal
2933.5,False,Harish Swaminathan Gopal
3214.9544349745215,True,Harish Swaminathan Gopal
2396.388204573333,False,Harish Swaminathan Gopal
5374.5,False,Harish Swaminathan Gopal
4366.6475452032955,False,Harish Swaminathan Gopal
3002.8298668759,False,Harish Swaminathan Gopal
1914.1870296242028,False,Harish Swaminathan Gopal
619.553362151683,True,Harish Swaminathan Gopal
3419.351882894954,False,Harish Swaminathan Gopal
2801.582304653409,True,Harish Swaminathan Gopal
2753.293817283548,False,Harish Swaminathan Gopal
559.9264933525615,True,Harish Swaminathan Gopal
5852.331166511127,False,Harish Swaminathan Gopal
3702.492290739667,False,Harish Swaminathan Gopal
1293.11525381767,True,Harish Swaminathan Gopal
412.93843393056534,False,Sebastian Asen
380.0,False,Sebastian Asen
400.0,False,Sebastian Asen
407.73616538956844,False,Sebastian Asen
400.0,False,Sebastian Asen
411.93308683021024,False,Sebastian Asen
400.0384787707757,False,Sebastian Asen
409.34826387431053,False,Sebastian Asen
401.4752280733927,False,Sebastian Asen
410.6925180170436,False,Sebastian Asen
406.6792541295279,False,Sebastian Asen
405.3712468224044,False,Sebastian Asen
401.5240093974076,False,Sebastian Asen
402.30902843381625,False,Sebastian Asen
405.5114230128178,False,Sebastian Asen
400.0,False,Sebastian Asen
400.0,False,Sebastian Asen
400.0,False,Sebastian Asen
400.0,False,Sebastian Asen
380.0,False,Sebastian Asen
400.0,False,Sebastian Asen
400.0,False,Sebastian Asen
400.0,False,Sebastian Asen
400.0,False,Sebastian Asen
380.0,False,Sebastian Asen
380.0,False,Sebastian Asen
380.0,False,Sebastian Asen
400.0,False,Sebastian Asen
400.0,False,Sebastian Asen
400.0,False,Sebastian Asen
50.184775848735036,False,Reference Generator
50.18477584873504,False,Reference Generator
50.18477584873503,False,Reference Generator
50.184775848735036,False,Reference Generator
50.184775848735036,False,Reference Generator
50.18477584873506,False,Reference Generator
50.184775848735036,False,Reference Generator
50.184775848735036,False,Reference Generator
50.184775848735036,False,Reference Generator
50.184775848735036,False,Reference Generator
50.18477584873505,False,Reference Generator
50.18477584873503,False,Reference Generator
50.18477584873505,False,Reference Generator
50.18477584873505,False,Reference Generator
50.18477584873503,False,Reference Generator
50.184775848735036,False,Reference Generator
50.18477584873502,False,Reference Generator
4.0,False,Sebastian Vogl
0.0,False,Sebastian Vogl
4.0,False,Sebastian Vogl
0.0,False,Sebastian Vogl
0.0,False,Sebastian Vogl
4.0,False,Sebastian Vogl
4.0,False,Sebastian Vogl
4.0,False,Sebastian Vogl
0.0,False,Sebastian Vogl
0.0,False,Sebastian Vogl
4.0,False,Sebastian Vogl
50.184775848735036,False,Reference Generator
50.18477584873504,False,Reference Generator
50.18477584873503,False,Reference Generator
50.184775848735036,False,Reference Generator
50.184775848735036,False,Reference Generator
50.18477584873506,False,Reference Generator
50.184775848735036,False,Reference Generator
50.184775848735036,False,Reference Generator
50.184775848735036,False,Reference Generator
50.184775848735036,False,Reference Generator
50.18477584873505,False,Reference Generator
50.18477584873503,False,Reference Generator
50.18477584873505,False,Reference Generator
50.18477584873505,False,Reference Generator
50.18477584873503,False,Reference Generator
50.184775848735036,False,Reference Generator
50.18477584873502,False,Reference Generator
4.0,False,Sebastian Vogl
0.0,False,Sebastian Vogl
4.0,False,Sebastian Vogl
0.0,False,Sebastian Vogl
0.0,False,Sebastian Vogl
4.0,False,Sebastian Vogl
4.0,False,Sebastian Vogl
4.0,False,Sebastian Vogl
0.0,False,Sebastian Vogl
0.0,False,Sebastian Vogl
4.0,False,Sebastian Vogl
4.0,False,Sebastian Vogl
0.0,False,Sebastian Vogl
4.0,False,Sebastian Vogl
0.0,False,Sebastian Vogl
4.0,False,Sebastian Vogl
0.0,False,Sebastian Vogl
4.0,False,Sebastian Vogl
0.0,False,Sebastian Vogl
4.0,False,Sebastian Vogl
0.0,False,Sebastian Vogl
184.0,False,Harish Swaminathan Gopal
